VD6(K1755+300),2019-01-01 03:20,15,99.66699982,1,1
VD6(K1755+300),2019-01-01 03:25,18,79.55599976,4.44,0
VD6(K1755+300),2019-01-01 03:25,26,94.84600067,3,1
VD6(K1755+300),2019-01-01 03:30,14,95.28600311,2.14,0
VD6(K1755+300),2019-01-01 03:30,28,94.21399689,3,1
VD6(K1755+300),2019-01-01 03:35,12,100.3330002,1.67,0
VD6(K1755+300),2019-01-01 03:35,17,97.1760025,1.65,1
VD6(K1755+300),2019-01-01 03:40,11,100.2730026,1.82,0
VD6(K1755+300),2019-01-01 03:40,23,96.52200317,2.48,1
VD6(K1755+300),2019-01-01 03:45,14,100.0709991,1.57,0
VD6(K1755+300),2019-01-01 03:45,23,96.47799683,2.57,1
VD6(K1755+300),2019-01-01 03:50,13,101.6920013,0.54,0
VD6(K1755+300),2019-01-01 03:50,17,98.70600128,1.53,1
VD6(K1755+300),2019-01-01 03:55,24,101.25,2.88,0
VD6(K1755+300),2019-01-01 03:55,31,95.70999908,4.29,1
VD6(K1755+300),2019-01-01 04:00,13,105.1539993,1,0
VD6(K1755+300),2019-01-01 04:00,27,92.03700256,3,1
VD6(K1755+300),2019-01-01 04:05,15,93.66699982,1.33,0
VD6(K1755+300),2019-01-01 04:05,13,97.46199799,1,1
VD6(K1755+300),2019-01-01 04:10,16,97.5,1.38,0
VD6(K1755+300),2019-01-01 04:10,13,102.1539993,1,1
VD6(K1755+300),2019-01-01 04:15,21,98.14299774,2.86,0
VD6(K1755+300),2019-01-01 04:15,23,97.87000275,2,1
VD6(K1755+300),2019-01-01 04:20,8,95,0.75,0
VD6(K1755+300),2019-01-01 04:20,13,99.07700348,1.54,1
VD6(K1755+300),2019-01-01 04:25,17,96.8239975,2.47,0
VD6(K1755+300),2019-01-01 04:25,14,97.14299774,1.57,1
VD6(K1755+300),2019-01-01 04:30,14,94.14299774,2.36,0
VD6(K1755+300),2019-01-01 04:30,28,95.5,3,1
VD6(K1755+300),2019-01-01 04:35,17,101.5289993,2.12,0
VD6(K1755+300),2019-01-01 04:35,26,94.76899719,2.54,1
VD6(K1755+300),2019-01-01 04:40,12,106,0.67,0
VD6(K1755+300),2019-01-01 04:40,22,91.81800079,2.59,1
VD6(K1755+300),2019-01-01 04:45,12,92.66699982,1.33,0
